(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
277;Rhein-Neckar;908;195510;196882;195510;196882;163898;154085;163898;154085;1419;1588;884;1403;162479;152497;163014;152682;33082;41205;25578;35847;55930;43487;50682;38871;17909;22696;20052;24072;7029;17769;9195;21941;33086;15296;33687;15701;;;;;8276;4006;10195;4320;4754;3979;2214;2620;;;1538;2033;;3238;422;2436;;;740;1362;;;;614;;;;546;2413;;1437;681;;;222;275;;;;;;;;234;;;;134;;;288;363;;;;;;;35;33;;;;;;;;;;;;;;;;;;;180;;;;6549;;;;;;;;;;;821;;599
278;Bruchsal – Schwetzingen;908;194216;195755;194216;195755;162421;152231;162421;152231;1622;2028;950;1455;160799;150203;161471;150776;26254;32836;23196;34434;58113;44465;51893;38866;17251;22154;17639;20858;6699;17635;8469;21978;35749;17352;36181;17462;;;;;8294;3854;9276;4125;5673;5054;2549;3258;;;2053;2726;;2878;497;2416;;2553;797;1527;;;;680;;;;457;2766;;1263;544;;;218;217;;;;;;;;257;;;;160;;;182;198;;;;;;;35;20;;;;;;;;;;;;;;;;;;;208;;;;7015;;;;;;;;;;;1422;;593
279;Pforzheim;908;212982;217126;212982;217126;174321;163982;174321;163982;2289;1441;980;1365;172032;162541;173341;162617;36222;33957;22824;34262;63762;46291;52835;39324;;20679;18237;21213;9382;20632;10769;26504;46265;22943;43959;22028;;;;;11023;3772;9320;4342;;4407;1988;2914;;3963;2042;3276;;2555;526;2428;;2270;705;1532;;;;710;;;;561;5378;;1343;617;;;263;318;;;;;;;;206;;;;177;;;589;819;;;;;;;51;62;;;;;;;;;;;;;;;;;;;229;;;;7661;;;;;;;;;;;1072;;1324
280;Calw;908;197556;199092;197556;199092;163682;152863;163682;152863;1274;1350;860;1275;162408;151513;162822;151588;20945;26111;19875;28571;63399;51208;55074;42841;13187;17712;14354;17301;6838;22685;9671;26770;39325;18668;41611;19473;;;;;6312;2998;7649;3656;5812;4202;2670;3076;2425;2749;1520;2232;;3083;536;2992;;1526;505;1155;;;;529;;;;477;1526;;898;253;;;318;451;;;;;;;;189;;;;116;2021;;1323;795;;;;;;;28;29;;;;;;;;;;;;;;;;;618;;263;;;;6527;;;;;;;;;;;571;;682
281;Freiburg;908;228338;224392;228338;224392;196067;180976;196067;180976;1304;1207;797;1103;194763;179769;195270;179873;30486;47198;29933;38183;47806;37111;43345;31296;63281;51777;51967;56861;5541;13835;8284;19145;20008;8107;20285;8854;;;;;19518;9604;27165;12429;2574;2769;1400;1821;;;1649;2092;;4115;463;3779;1842;2730;903;1719;;;;610;;;;475;3469;1043;2139;801;;;374;571;;;;;;;;145;;561;;280;;;275;281;;;;;238;134;74;74;;;;;;;;;;;;;;;;;;;156;;;;6858;;;;;;;;;;;785;;457
282;Lörrach – Müllheim;908;229946;231076;229946;231076;187809;174064;187809;174064;1440;1720;1023;1495;186369;172344;186786;172569;32290;37496;29802;41834;61900;43509;54617;38501;29239;35558;28451;32817;5810;24430;9156;24669;32848;13981;33961;14195;;;;;11325;4580;12651;5532;10174;3530;3622;2784;;;2006;2479;;4799;601;4136;;2586;919;1698;;;;676;;1009;;734;2783;;1531;454;;;351;357;;;;;;;;228;;;;146;;;508;592;;;;;;168;66;73;;;;;;;;;;;;;;;;;;;198;;;;8346;;;;;;;;;;;698;;664
283;Emmendingen – Lahr;908;218790;218872;218790;218872;182311;168004;182311;168004;1439;1349;993;1432;180872;166655;181318;166572;40204;46316;28150;39727;66984;46406;58425;41323;18328;23345;23992;28724;5695;16620;8497;22136;34282;14396;35309;14971;;;;;8504;4921;10679;5209;6875;3963;3352;3146;;3601;2073;3122;;3325;509;3147;;1980;880;1514;;;;477;;;;568;;623;1228;553;;1159;391;676;;;;;;;;181;;;;120;;;284;332;;;;;;;44;22;;;;;;;;;;;;;;;;;;;193;;;;7312;;;;;;;;;;;0;;624
284;Offenburg;908;204805;205893;204805;205893;167833;156776;167833;156776;1648;1623;1031;1576;166185;155153;166802;155200;21575;29003;22192;33043;63492;54148;56001;40210;20482;21717;18504;23083;7406;16692;8781;22799;34411;13876;36363;15320;;;;;8993;4254;9490;4423;7685;5881;3183;3729;;;1563;2290;;6955;719;5471;;2627;683;1465;;;;867;;;;580;2141;;1164;441;;;261;288;;;;;;;;221;;;;139;;;183;173;;;;;;;29;19;;;;;;;;;;;;;;;;;;;153;;;;7533;;;;;;;;;;;0;;639
285;Rottweil – Tuttlingen;908;196201;198182;196201;198182;161387;149664;161387;149664;1559;1826;1121;1851;159828;147838;160266;147813;17697;23989;17307;27523;62245;46535;55063;40818;12461;18184;12443;16036;8719;24784;9737;26768;44002;20293;43401;19747;;;;;7147;3177;7541;3320;4794;3733;2350;2726;;;1504;1965;;5058;632;4135;;;637;973;;;;644;;;;549;2763;;1265;371;;1541;522;827;;;;;;;;216;;544;;243;;;356;299;;;;;;;30;12;;;;;;;;;;;;;;;;;;;229;;;;7249;;;;;;;;;;;0;;641
286;Schwarzwald-Baar;908;160376;162800;160376;162800;131135;122862;131135;122862;1057;1370;899;1340;130078;121492;130236;121522;19396;21996;16814;25814;55044;44188;44338;32309;9979;14692;12895;16181;4524;16747;6874;19696;29143;12795;30953;13097;;;;;5295;2757;6591;3062;2933;3306;2066;2390;;;1243;1602;;4871;481;3819;;;502;843;;;;416;;;;442;1500;;929;357;;;234;276;;;;;;;;189;;;;107;;;285;292;;;;;;140;47;58;;;;;;;;;;;;;;;;;;;167;;;;5817;;;;;;;;;;2264;0;;572
287;Konstanz;908;207094;206009;207094;206009;170740;157563;170740;157563;1166;1277;789;1163;169574;156286;169951;156400;26451;31486;22599;32657;63922;53362;51163;36209;25390;28142;28615;32913;7363;17047;9820;23509;29587;13487;31136;13341;;;;;9987;5591;12660;5804;3341;2809;1929;2204;;;1349;1928;;;466;3022;;2838;872;1643;;;;401;;;;546;2911;;1691;570;;945;301;463;;;;;;;;141;;;;164;;;219;221;;;;;;;48;33;;;;;;;;;;;;;;;;;;;148;;;;6935;;;;;;;;;;622;579;;631
288;Waldshut;908;176262;177275;176262;177275;145383;136195;145383;136195;978;1318;712;1173;144405;134877;144671;135022;26958;34449;20751;30782;54467;45335;48696;35595;16809;20679;19776;23294;5169;10217;7212;18422;26710;11420;27607;11265;;;;;6839;3606;8199;3895;4321;3482;2414;2534;;;1203;1732;1372;3975;625;3634;;;540;894;;;;391;;;;471;1760;819;1184;656;;895;286;469;;;;;;;;155;;;;102;;;220;216;;;;;;;41;34;;;;;;;;;;;;;;;;;;;165;;;;5752;;;;;;;;;;;0;;481
289;Reutlingen;908;197827;199189;197827;199189;165466;153820;165466;153820;1264;1343;812;1245;164202;152477;164654;152575;22440;27236;21625;31535;63189;49631;53652;39504;20868;25399;20122;24197;9115;20411;10604;25288;32479;15356;34596;15652;;;;;9118;6169;9970;5081;4649;3139;2127;2434;;;1310;1700;;2747;443;2442;2054;2211;766;1239;;;;689;;;;552;;;994;451;;;269;329;;;;;;;;180;;;;176;;;363;445;;;;;290;178;73;79;;;;;;;;;;;;;;;;;;;195;;;;7545;;;;;;;;;;;0;;602
290;Tübingen;908;199799;198791;199799;198791;172184;160835;172184;160835;1167;1207;702;1054;171017;159628;171482;159781;22149;28982;23910;32576;54252;43024;48875;34775;42176;40978;32947;37424;6242;15059;8579;22678;26760;12484;27676;12548;;;;;10521;7526;16465;8231;3862;2789;1756;1978;;2544;1152;1777;;2940;407;2666;1667;1952;719;1292;;;;838;;;;532;1805;;1280;610;;743;332;503;;;;;;;;155;;;;208;;;278;323;;;;;;114;88;50;;;;;;;;;;;;;;;;;;;180;;;;6838;;;;;;;;;;1583;493;;617
291;Ulm;908;223539;223376;223539;223376;190020;177537;190020;177537;1240;1539;879;1372;188780;175998;189141;176165;25220;32176;25482;36418;73225;57608;64127;46805;29344;33012;25667;31238;6700;19745;9749;25389;34990;15932;36448;16046;;;;;9375;4604;12200;5377;3800;4961;2552;3808;2963;3303;1752;2491;;;530;2566;;2002;737;1529;;;;820;;1669;;914;1718;;1289;552;;;411;515;;;;;;;;252;;481;;310;;;299;353;;;;;218;136;76;87;;;;;;;;;;;;;;;;;1227;;439;;;;7383;;;;;;;;;;;369;;695
292;Biberach;908;169789;169147;169789;169147;144530;133345;144530;133345;1018;1174;784;1115;143512;132171;143746;132230;18225;24567;14951;23152;58651;46458;55026;40472;14819;17912;14064;18070;5555;13045;7298;19163;32077;13469;33316;14308;;;;;5447;2064;6496;2967;4638;4431;2696;4155;2401;2371;1258;1921;;3134;614;3207;;1471;558;1175;;;;433;;760;;559;1699;;885;332;;2489;576;1191;;;;;;;;189;;;;117;;;273;241;;;;;;;29;12;;;;;;;;;;;;;;;;;;;215;;;;5491;;;;;;;;;;;0;;566
293;Bodensee;908;173329;174430;173329;174430;145115;137838;145115;137838;1088;1083;753;990;144027;136755;144362;136848;21966;28501;18778;26989;57658;41624;50586;36571;18269;23385;19560;23635;4628;16751;8289;21611;29318;12584;27290;11916;;;;;6090;3705;8002;3905;3535;3047;2020;2526;;;1053;1433;;4045;508;3862;;2079;585;1345;;;;563;;;;490;2332;;1117;458;;931;313;555;;;;;;;;125;;;;117;;;208;202;;;;;231;;49;27;;;;;;;;;;;;;;;;;;;154;;;;5850;;;;;;;;;;;103;;518
294;Ravensburg;908;188225;187817;188225;187817;157982;147020;157982;147020;1206;1080;746;1042;156776;145940;157236;145978;17209;20128;18446;27750;60702;44597;55057;38927;23871;30743;20841;25536;8948;20934;8525;21740;29159;11727;29900;12650;;;;;9810;4365;10188;4735;4667;4441;2679;3751;;;1232;1604;;4710;718;4156;;1913;716;1373;;;;570;;;;536;2410;;1308;445;;1904;623;1091;;;;;;;;160;;;;121;;;270;238;;;;;;127;46;46;;351;;;;;;;;;;;;;;;;;169;;;;6518;;;;;;;;;;;0;;549
295;Zollernalb – Sigmaringen;908;180742;182648;180742;182648;148788;138084;148788;138084;1599;1688;857;1544;147189;136396;147931;136540;28895;24970;16344;26716;54656;41106;54044;39332;7838;23118;11151;15503;6171;18678;8082;23200;38498;15554;38796;16477;;;;;5862;2848;7258;3540;3858;3359;2053;2617;;;1306;1883;;3906;457;2980;;1887;613;1335;;;;545;;;;510;;;653;258;;758;287;429;;;;;;;;182;;;;111;;;232;258;;;;;317;212;102;114;;;;;;;;;;;;;;;;;1094;;300;;;;6253;;;;;;;;;;;0;;550
908;Baden-Württemberg;999;7653811;7711531;7653811;7711531;6382446;5997317;6382446;5997317;49732;54574;32448;47657;6332714;5942743;6349998;5949660;1002327;1247455;898778;1287934;2280707;1767316;2006866;1477612;887608;1058334;865738;1022226;271794;711697;357539;908039;1231221;561058;1256430;571336;;;;;360037;175691;429484;196874;163869;143422;86311;103611;10548;21822;55906;74702;17282;127340;21845;114919;20293;73115;28041;53597;;;;26780;;3438;;21530;69168;11146;49025;20620;1798;17041;12258;17637;;;;;;;;7059;;4702;;6775;2021;452;11768;12625;;;;;3574;3541;2379;2248;;351;;;;;;;;;;;;62;;;4821;;7411;;;;260219;;;;;;;;;;5646;14760;;23536
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Saarbrücken;910;187345;192929;187345;192929;149368;142697;149368;142697;1852;2299;1249;2223;147516;140398;148119;140474;47772;51749;32650;53537;36514;35252;33860;28797;10931;11143;14721;;5305;11647;6488;16438;30422;12569;29681;13006;;;;;12484;8711;14661;13484;3532;2604;1470;2191;;;3006;3843;;2179;;1923;;3439;;2764;;;;748;;;470;1009;;;1224;1525;;605;;698;;;;;;;;;;;;;;;;;;;;;556;201;134;141;;;;;;;;;;;;;;;;;;;376;;;;9378;;;;;;;;;;;299;;370
297;Saarlouis;910;198307;203279;198307;203279;164765;159170;164765;159170;2373;3047;1634;2891;162392;156123;163131;156279;46008;57354;34688;56920;51704;43671;46089;38085;7726;7383;10190;;5260;12777;7259;18872;35621;15111;35421;15651;;;;;10903;8405;11036;10512;5170;4352;2170;3315;;;3333;4535;;2466;;2221;;3853;;2736;;;;599;;;463;860;;;1000;954;;751;;593;;;;;;;;;;;;;;;;;;;;;;;55;76;;;;;;;;;;;;;;;;;;;384;;;;11043;;;;;;;;;;;0;;350
298;St. Wendel;910;168073;173074;168073;173074;143181;139808;143181;139808;1858;2828;1376;2776;141323;136980;141805;137032;40408;48135;31468;51229;47875;43928;42957;36248;5342;5739;8801;;5361;11354;5755;14916;29038;12346;29391;12904;;;;;8133;5783;8576;7887;5166;3562;2328;2881;;;2900;3808;;2251;;2094;;3261;;2276;;;;408;;;410;741;;;687;693;;621;;595;;;;;;;;;;;;;;;;;;;;;;;47;59;;;;;;;;;;;;;;;;;;;365;;;;8120;;;;;;;;;;;0;;293
299;Homburg;910;180479;185941;180479;185941;147979;142288;147979;142288;1968;2676;1311;2405;146011;139612;146668;139883;44557;51091;32330;52091;40910;36472;38207;32004;6478;6826;9659;;4685;11015;6223;15719;34096;16210;34801;16068;;;;;9695;7312;9807;9247;5590;4418;2508;3359;;;3024;4045;;2086;;1878;;3287;;2202;;;;526;;;410;809;;;809;847;;895;;645;;;;;;;;;;;;;;;;;;;;;;;68;81;;;;;;;;;;;;;;;;;;;362;;;;8460;;;;;;;;;;;0;;362
910;Saarland;999;734204;755223;734204;755223;605293;583963;605293;583963;8051;10850;5570;10295;597242;573113;599723;573668;178745;208329;131136;213777;177003;159323;161113;135134;30477;31091;43371;;20611;46793;25725;65945;129177;56236;129294;57629;;;;;41215;30211;44080;41130;19458;14936;8476;11746;;;12263;16231;;8982;;8116;;13840;;9978;;;;2281;;;1753;3419;;;3720;4019;;2872;;2531;;;;;;;;;;;;;;;;;;;;;556;201;304;357;;;;;;;;;;;;;;;;;;;1487;;;;37001;;;;;;;;;;;299;;1375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
999;Bundesgebiet;999;60510631;61172771;60510631;61172771;49928653;46707343;49928653;46707343;423264;488483;279141;408956;49505389;46218860;49649512;46298387;9936433;12184096;8149124;11901558;12604184;10445920;11196374;8774920;5443393;6435380;5762380;6814408;1622912;4019565;2148757;5291013;10177318;4699926;10328780;4809233;3272064;2788048;2964028;2402827;3933297;2286070;4356532;2255864;1254565;1332710;769279;1125667;82498;160865;482201;673669;41923;732620;85373;630153;122268;540170;242741;460431;9783;5422;24553;211854;2151;60548;13800;169587;391666;77594;355262;164300;54606;152542;49764;112129;58779;35027;76138;55578;;2171;303;48496;1871;12672;14294;47524;2021;6222;11768;39868;5763;36748;12278;32790;24218;22535;19551;17820;;652;694;3786;1282;;21388;3228;73;;425;1399;1295;811;676;665;87955;;76372;;299401;;2472947;;658;;6994;;2849;;6736;;70163;180546;;249620
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;Sitzverteilung;1000;;;;;;;;;;;;;;;;;120;;;;164;;;;85;;;;;;;;152;;;;44;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;Teil der Koalition;1001;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
