# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
NI;2;m|d|o;2001-2007;177664;574;25342;26188;17776;14093;43440;;31168;19084;1517;8298
NI;2;m|d|o;1991-2000;320278;798;39509;53777;44608;17607;81502;;45219;37258;3488;17419
NI;2;m|d|o;1981-1990;366606;1075;46918;87399;47902;16039;110976;;24806;31491;3631;14494
NI;2;m|d|o;1966-1980;608419;2193;105916;185971;61296;24375;163180;;27746;37741;5127;20176
NI;2;m|d|o;1956-1965;472809;2089;124591;152446;48714;16579;88477;;18412;21500;3213;13187
NI;2;m|d|o;<=1955;517926;4175;166847;206511;36792;24359;50653;;15221;13368;1423;9467
NI;2;w;Summe;2577611;15072;644401;698125;319757;92110;356313;;242947;208887;19228;106334
NI;2;w;2001-2007;170382;403;23490;15308;17776;5858;20404;;68531;18611;1213;8647
NI;2;w;1991-2000;314420;712;50709;47389;50367;11870;47142;;64801;41430;2647;20241
NI;2;w;1981-1990;366837;1164;62676;81107;57193;13969;74653;;34367;41708;3405;20726
NI;2;w;1966-1980;613297;2962;136189;165866;81512;21083;107821;;40263;57600;5936;29881
NI;2;w;1956-1965;492565;2791;148680;141264;63676;15901;67591;;20539;32124;4411;17360
NI;2;w;<=1955;620110;7039;222657;247191;49232;23430;38702;;14445;17414;1617;9479
HB;1;Summe;Summe;350366;3286;95267;78673;53287;9664;52638;;44408;13143;1758;
HB;1;Summe;2001-2007;23164;137;4859;1929;3264;941;2598;;8366;1070;125;
HB;1;Summe;1991-2000;49154;215;9539;6011;9531;1802;7386;;11982;2688;135;
HB;1;Summe;1981-1990;50155;439;8929;9206;9163;1296;10751;;7329;3041;479;
HB;1;Summe;1966-1980;78034;740;19952;18088;12109;1726;15079;;6899;3442;523;
HB;1;Summe;1956-1965;67936;846;20370;16144;10749;1607;11127;;5286;1808;311;
HB;1;Summe;<=1955;81924;909;31618;27295;8471;2292;5698;;4546;1095;184;
HB;1;m|d|o;Summe;167834;1650;43525;38796;22605;4967;30287;;18956;7048;652;
HB;1;m|d|o;2001-2007;10919;92;2169;1289;1375;476;1843;;2950;726;44;
HB;1;m|d|o;1991-2000;25003;147;5175;3191;4433;1181;4520;;4953;1404;24;
HB;1;m|d|o;1981-1990;25941;199;4420;4832;4117;736;6370;;3483;1786;183;
HB;1;m|d|o;1966-1980;38524;337;9765;9192;5101;740;8808;;2825;1756;211;
HB;1;m|d|o;1956-1965;32665;396;9317;8229;4542;633;6241;;2309;998;155;
HB;1;m|d|o;<=1955;34781;480;12679;12063;3038;1202;2505;;2436;377;35;
HB;1;w;Summe;182532;1636;51742;39877;30682;4697;22351;;25452;6095;1106;
HB;1;w;2001-2007;12245;45;2690;640;1889;465;755;;5416;344;81;
HB;1;w;1991-2000;24150;68;4363;2820;5098;621;2867;;7029;1284;111;
HB;1;w;1981-1990;24214;240;4510;4374;5046;561;4381;;3847;1255;296;
HB;1;w;1966-1980;39510;403;10187;8896;7008;986;6270;;4074;1685;312;
HB;1;w;1956-1965;35271;450;11054;7915;6206;973;4886;;2977;810;156;
HB;1;w;<=1955;47143;429;18939;15232;5433;1090;3192;;2110;717;149;
HB;2;Summe;Summe;350366;2110;80604;71573;54280;12295;52496;;51461;25547;1618;15114
HB;2;Summe;2001-2007;23164;97;2866;1594;2935;844;2573;;10306;1948;89;1194
HB;2;Summe;1991-2000;49154;69;6235;4951;9202;1940;7236;;14280;5240;90;2803
HB;2;Summe;1981-1990;50155;190;6872;8073;8919;1471;10439;;8368;5823;474;3383
HB;2;Summe;1966-1980;78034;433;16789;16612;13062;2237;15250;;7819;5833;403;3360
HB;2;Summe;1956-1965;67936;426;18071;14746;11345;2160;11343;;5866;3979;345;2569
HB;2;Summe;<=1955;81924;895;29770;25597;8817;3644;5656;;4822;2724;217;1805
HB;2;m|d|o;Summe;167834;847;36496;35281;24064;6589;30510;;21165;12881;743;7253
HB;2;m|d|o;2001-2007;10919;72;1506;1021;1520;461;1838;;3338;1160;20;701
HB;2;m|d|o;1991-2000;25003;55;3216;2676;4425;1319;4521;;5824;2968;71;1466
HB;2;m|d|o;1981-1990;25941;103;3410;4258;4425;841;6399;;3482;3023;318;1565
HB;2;m|d|o;1966-1980;38524;195;8214;8425;5566;1106;8957;;3342;2720;203;1438
HB;2;m|d|o;1956-1965;32665;191;8262;7524;4913;925;6319;;2616;1916;108;1255
HB;2;m|d|o;<=1955;34781;231;11887;11377;3215;1937;2475;;2563;1095;23;828
HB;2;w;Summe;182532;1263;44108;36292;30216;5706;21986;;30296;12666;875;7861
HB;2;w;2001-2007;12245;25;1360;573;1415;383;735;;6968;788;68;493
HB;2;w;1991-2000;24150;14;3019;2275;4778;620;2715;;8456;2272;20;1337
HB;2;w;1981-1990;24214;87;3462;3816;4494;629;4039;;4886;2801;156;1818
HB;2;w;1966-1980;39510;237;8576;8187;7496;1131;6293;;4478;3113;200;1922
HB;2;w;1956-1965;35271;235;9808;7222;6432;1235;5024;;3251;2064;237;1314
