# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;2;Brief;Summe;1962 - 1976;5581622;26760;988397;1419502;487616;655302;205622;893597;370673;534153;204809;89188
Bund;2;Brief;Summe;1952 - 1961;4211264;22467;820135;1331002;293983;395393;187518;569373;327000;264392;113494;43506
Bund;2;Brief;Summe;1951 und früher;5158333;40954;1546870;1703445;230120;411337;177722;369872;490714;187299;83005;23665
Bund;2;Brief;m;Summe;10154412;50880;1845028;2507698;876237;1335398;465252;1561451;695923;816546;297550;93420
Bund;2;Brief;m;1997 - 2003;685851;2528;60243;98306;35992;173933;39113;153377;27098;95261;21835;6373
Bund;2;Brief;m;1987 - 1996;1385113;5494;131417;223304;98945;253485;91198;331317;62137;187815;51877;13981
Bund;2;Brief;m;1977 - 1986;1310889;4612;173351;231614;142316;191740;61750;276765;76558;152183;52247;17283
Bund;2;Brief;m;1962 - 1976;2593000;11737;469054;623773;292956;332137;94973;385966;172265;210140;88443;32685
Bund;2;Brief;m;1952 - 1961;1993157;10111;376883;611672;177764;197446;93100;257081;161657;107443;52476;15922
Bund;2;Brief;m;1951 und früher;2186404;16399;634080;719029;128265;186658;85117;156944;196207;63705;30672;7175
Bund;2;Brief;w;Summe;11991924;69256;2292622;3191037;606707;1199200;522648;2114576;843862;1152015;380901;161408
Bund;2;Brief;w;1997 - 2003;828749;3492;67239;130298;26171;113358;62690;268807;30547;126147;27089;9311
Bund;2;Brief;w;1987 - 1996;1560334;6383;150538;272196;73657;180787;99669;479337;70381;227387;61393;22058
Bund;2;Brief;w;1977 - 1986;1424182;7445;199461;289068;94144;159263;62618;333582;84676;193924;62702;29463
Bund;2;Brief;w;1962 - 1976;2988622;15023;519343;795729;194661;323165;110650;507630;198408;324013;116366;56503
Bund;2;Brief;w;1952 - 1961;2218107;12357;443251;719330;116219;197948;94417;312292;165344;156950;61018;27584
Bund;2;Brief;w;1951 und früher;2971929;24556;912790;984416;101855;224679;92605;212927;294507;123594;52333;16490
